partition_date,market,vertical,roas
2022-03-30,AA,,1.4
2022-03-30,AE,,1.4
2022-03-30,AR,,1.4
2022-03-30,AT,,1.4
2022-03-30,AU,,1.4
2022-03-30,BE,,1.4
2022-03-30,BG,,1.4
2022-03-30,BR,,1.4
2022-03-30,CA,,1.4
2022-03-30,CH,,1.4
2022-03-30,CL,,1.4
2022-03-30,CO,,1.4
2022-03-30,CZ,,1.4
2022-03-30,DE,,1.4
2022-03-30,DK,,1.4
2022-03-30,EC,,1.4
2022-03-30,ES,,1.4
2022-03-30,FI,,1.4
2022-03-30,FR,,1.4
2022-03-30,GR,,1.4
2022-03-30,HK,,1.4
2022-03-30,HR,,1.4
2022-03-30,HU,,1.4
2022-03-30,IE,,1.4
2022-03-30,IL,,1.4
2022-03-30,IN,,1.4
2022-03-30,IT,,1.4
2022-03-30,JP,,1.4
2022-03-30,KR,,1.4
2022-03-30,MX,,1.4
2022-03-30,MY,,1.4
2022-03-30,NL,,1.4
2022-03-30,NO,,1.4
2022-03-30,NZ,,1.4
2022-03-30,PE,,1.4
2022-03-30,PH,,1.4
2022-03-30,PL,,1.4
2022-03-30,PT,,1.4
2022-03-30,RO,,1.4
2022-03-30,RS,,1.4
2022-03-30,RU,,1.4
2022-03-30,SE,,1.4
2022-03-30,SG,,1.4
2022-03-30,SI,,1.4
2022-03-30,SK,,1.4
2022-03-30,TH,,1.4
2022-03-30,TR,,1.4
2022-03-30,TW,,1.4
2022-03-30,US,HC,1.4
2022-03-30,US,HP,1.2
2022-03-30,US,VX,1
2022-03-30,US,FX,1
2022-03-30,US,NT,1
2022-03-30,UY,,1.4
2022-03-30,ZA,,1.4
2022-03-30,ID,,1.4
2022-03-30,VN,,1.4
2022-03-30,UK,HC,1.3
2022-03-30,UK,HP,1.2
2022-03-30,UK,VX,1
2022-03-30,UK,FX,1
2022-03-30,UK,NT,1.1
